p,n,e,z,d
76738,13715956.01,2364238.074,418.0056,
76739,13715928.41,2364238.074,417.9952,
76740,13715900.81,2364238.074,417.4942,
76741,13715873.21,2364238.074,417.0547,
76742,13715845.61,2364238.074,416.999,
76743,13715818.01,2364238.074,417,
76744,13715790.41,2364238.074,416.5838,
76745,13715762.81,2364238.074,416.039,
76746,13715734.92,2364238.074,415.9802,
76747,13715707.32,2364238.074,415.9256,
76748,13715679.72,2364238.074,415.9054,
76749,13715652.12,2364238.074,415.2325,
76750,13715624.52,2364238.074,415.3292,
76751,13715596.94,2364238.074,415.2055,
76752,13715569.03,2364238.074,415.3384,
76756,13715529.03,2364238.074,415.3704,
76757,13715501.43,2364238.074,415.0456,
76758,13715473.83,2364238.074,415,
76759,13715446.23,2364238.074,415,
76760,13715418.63,2364238.074,415,
76761,13715391.03,2364238.074,415,
76762,13715363.43,2364238.074,415.0007,
76763,13715335.83,2364238.074,415,
76764,13715307.93,2364238.074,415.0121,
76765,13715280.33,2364238.074,415,
76766,13715252.73,2364238.074,415,
76767,13715225.13,2364238.074,415.0005,
76768,13715197.53,2364238.074,414.9833,
76769,13715169.96,2364238.074,413.9568,
76770,13715142.04,2364238.074,413.9456,
76723,13715956.01,2364259.99,418.0114,
76724,13715928.41,2364259.99,417.9861,
76725,13715900.81,2364259.99,417.5247,
76726,13715873.21,2364259.99,417.0669,
76727,13715845.61,2364259.99,416.9961,
76728,13715818.01,2364259.99,416.9835,
76729,13715790.41,2364259.99,416.5366,
76730,13715762.81,2364259.99,415.9975,
76731,13715734.92,2364259.99,415.9995,
76732,13715707.32,2364259.99,415.9564,
76733,13715679.72,2364259.99,415.9116,
76734,13715652.12,2364259.99,415.6835,
76735,13715624.52,2364259.99,415.7061,
76736,13715596.94,2364259.99,415.5764,
76737,13715569.03,2364259.99,415.6464,
76831,13715529.03,2364259.99,415.6285,
76832,13715501.43,2364259.99,415.129,
76833,13715473.83,2364259.99,415,
76834,13715446.23,2364259.99,415,
76835,13715418.63,2364259.99,415,
76836,13715391.03,2364259.99,415.0254,
76837,13715363.43,2364259.99,415.0848,
76838,13715335.83,2364259.99,415.2545,
76839,13715307.93,2364259.99,415.049,
76840,13715280.33,2364259.99,415.0033,
76841,13715252.73,2364259.99,415.0001,
76842,13715225.13,2364259.99,415.0001,
76753,13715197.53,2364259.99,414.9505,
76754,13715169.96,2364259.99,413.9986,
76755,13715142.04,2364259.99,414,
62309,13715129.04,2364259.99,414,
62310,13715101.44,2364259.99,414,
62311,13715073.84,2364259.99,414,
62312,13715046.24,2364259.99,414,
62313,13715018.64,2364259.99,414.0044,
62314,13714991.04,2364259.99,414.0036,
62315,13714963.44,2364259.99,414,
62344,13714935.84,2364259.99,414,
62345,13714907.95,2364259.99,414,
62346,13714880.35,2364259.99,413.8351,
62347,13714852.75,2364259.99,413.6937,
62348,13714825.15,2364259.99,413.7694,
62349,13714797.55,2364259.99,413.5176,
62350,13714769.97,2364259.99,413.2276,
62351,13714742.05,2364259.99,413.0101,
62427,13714702.05,2364259.99,413,
62428,13714674.45,2364259.99,413,
62429,13714646.85,2364259.99,413.0097,
62430,13714619.25,2364259.99,413.1184,
62431,13714591.65,2364259.99,413.3833,
62432,13714564.05,2364259.99,413.4923,
62433,13714536.45,2364259.99,413.5846,
62434,13714508.85,2364259.99,413.4062,
62435,13714480.96,2364259.99,413.3488,
62436,13714453.36,2364259.99,413.184,
62437,13714425.76,2364259.99,413.484,
62438,13714398.16,2364259.99,413.628,
62439,13714370.56,2364259.99,413.589,
62440,13714342.99,2364259.99,413.4963,
62441,13714315.07,2364259.99,413.6083,
76650,13715956.01,2364281.906,417.9828,
76651,13715928.41,2364281.906,417.9505,
76652,13715900.81,2364281.906,417.3403,
76653,13715873.21,2364281.906,417.0011,
76654,13715845.61,2364281.906,416.7918,
76655,13715818.01,2364281.906,416.2283,
76656,13715790.41,2364281.906,415.9999,
76715,13715762.81,2364281.906,416,
76716,13715734.92,2364281.906,416,
76717,13715707.32,2364281.906,416,
76718,13715679.72,2364281.906,416,
76719,13715652.12,2364281.906,415.997,
76720,13715624.52,2364281.906,415.9398,
76721,13715596.94,2364281.906,415.928,
76722,13715569.03,2364281.906,416,
76816,13715529.03,2364281.906,415.8892,
76817,13715501.43,2364281.906,415.1716,
76818,13715473.83,2364281.906,415.181,
76819,13715446.23,2364281.906,415.2915,
76820,13715418.63,2364281.906,415.2253,
76821,13715391.03,2364281.906,415.17,
76822,13715363.43,2364281.906,415.4414,
76823,13715335.83,2364281.906,415.5265,
76824,13715307.93,2364281.906,415.0936,
76825,13715280.33,2364281.906,415,
76826,13715252.73,2364281.906,415,
76827,13715225.13,2364281.906,415.0007,
76828,13715197.53,2364281.906,414.9853,
76829,13715169.96,2364281.906,414.0159,
76830,13715142.04,2364281.906,414,
62294,13715129.04,2364281.906,414.014,
62295,13715101.44,2364281.906,414,
62296,13715073.84,2364281.906,414,
62297,13715046.24,2364281.906,414,
62298,13715018.64,2364281.906,414.0128,
62299,13714991.04,2364281.906,414,
62300,13714963.44,2364281.906,414,
62301,13714935.84,2364281.906,414,
62302,13714907.95,2364281.906,414,
62303,13714880.35,2364281.906,414,
62304,13714852.75,2364281.906,414,
62305,13714825.15,2364281.906,413.9823,
62306,13714797.55,2364281.906,413.6993,
62307,13714769.97,2364281.906,413.5235,
62308,13714742.05,2364281.906,413.1319,
62412,13714702.05,2364281.906,413.0133,
62413,13714674.45,2364281.906,413.0861,
62414,13714646.85,2364281.906,413.28,
62415,13714619.25,2364281.906,413.5199,
62416,13714591.65,2364281.906,413.6929,
62417,13714564.05,2364281.906,413.8661,
62418,13714536.45,2364281.906,413.9051,
62419,13714508.85,2364281.906,413.8957,
62420,13714480.96,2364281.906,413.7491,
62421,13714453.36,2364281.906,413.6788,
62422,13714425.76,2364281.906,413.9131,
62423,13714398.16,2364281.906,413.9929,
62424,13714370.56,2364281.906,414.1424,
62425,13714342.99,2364281.906,414.4289,
62426,13714315.07,2364281.906,414.6037,
66414,13714302.07,2364281.906,414.6886,
66415,13714274.47,2364281.906,414.6777,
66416,13714246.87,2364281.906,414.8879,
66417,13714219.27,2364281.906,414.7547,
66418,13714191.67,2364281.906,414.9366,
66419,13714164.07,2364281.906,414.781,
66420,13714136.47,2364281.906,414.6786,
66421,13714108.87,2364281.906,414.4368,
66422,13714080.97,2364281.906,414.3209,
66423,13714053.37,2364281.906,414.0832,
66424,13714025.77,2364281.906,413.6485,
66425,13713998.17,2364281.906,413.3256,
66426,13713970.57,2364281.906,413.0363,
66427,13713943,2364281.906,412.9266,
66428,13713915.08,2364281.906,412.5929,
66504,13713875.08,2364281.906,411.9998,
66505,13713847.48,2364281.906,411.6109,
66506,13713819.88,2364281.906,411.2149,
66507,13713792.28,2364281.906,410.7356,
66508,13713764.68,2364281.906,410.3172,
66509,13713737.08,2364281.906,409.9995,
66510,13713709.48,2364281.906,409.6923,
66511,13713681.88,2364281.906,409.9997,
66512,13713653.99,2364281.906,409.9979,
66513,13713626.39,2364281.906,410,
66514,13713598.79,2364281.906,409.9999,
66515,13713571.19,2364281.906,409.8682,
66516,13713543.59,2364281.906,409.7033,
66517,13713516.01,2364281.906,409.5339,
66518,13713488.09,2364281.906,409.5301,
75318,13713475.09,2364281.906,409.3735,
75319,13713447.49,2364281.906,409.1481,
75320,13713419.89,2364281.906,409.1585,
75321,13713392.29,2364281.906,409.3106,
75322,13713364.69,2364281.906,409.4714,
75323,13713337.09,2364281.906,409.9186,
75324,13713309.49,2364281.906,410.0016,
75325,13713281.89,2364281.906,410.0455,
75326,13713254,2364281.906,410.3693,
75327,13713226.4,2364281.906,410.3643,
75328,13713198.8,2364281.906,410.4556,
75329,13713171.2,2364281.906,410.6701,
75330,13713143.6,2364281.906,411.1042,
75331,13713116.03,2364281.906,411.6724,
75332,13713088.11,2364281.906,412.6492,
75530,13713048.11,2364281.906,413.6166,
75531,13713020.51,2364281.906,414.9756,
75532,13712992.91,2364281.906,414.9584,
75533,13712965.31,2364281.906,416.9921,
75534,13712937.71,2364281.906,417,
